ID_TIEMPO;mes;anualidad
200601;Enero;2006
200602;Febrero;2006
200603;Marzo;2006
200604;Abril;2006
200605;Mayo;2006
200606;Junio;2006
200607;Julio;2006
200608;Agosto;2006
200609;Septiembre;2006
200610;Octubre;2006
200611;Noviembre;2006
200612;Diciembre;2006
200701;Enero;2007
200702;Febrero;2007
200703;Marzo;2007
200704;Abril;2007
200705;Mayo;2007
200706;Junio;2007
200707;Julio;2007
200708;Agosto;2007
200709;Septiembre;2007
200710;Octubre;2007
200711;Noviembre;2007
200712;Diciembre;2007
200801;Enero;2008
200802;Febrero;2008
200803;Marzo;2008
200804;Abril;2008
200805;Mayo;2008
200806;Junio;2008
200807;Julio;2008
200808;Agosto;2008
200809;Septiembre;2008
200810;Octubre;2008
200811;Noviembre;2008
200812;Diciembre;2008
200901;Enero;2009
200902;Febrero;2009
200903;Marzo;2009
200904;Abril;2009
200905;Mayo;2009
200906;Junio;2009
200907;Julio;2009
200908;Agosto;2009
200909;Septiembre;2009
200910;Octubre;2009
200911;Noviembre;2009
200912;Diciembre;2009
201001;Enero;2010
201002;Febrero;2010
201003;Marzo;2010
201004;Abril;2010
201005;Mayo;2010
201006;Junio;2010
201007;Julio;2010
201008;Agosto;2010
201009;Septiembre;2010
201010;Octubre;2010
201011;Noviembre;2010
201012;Diciembre;2010
201101;Enero;2011
201102;Febrero;2011
201103;Marzo;2011
201104;Abril;2011
201105;Mayo;2011
201106;Junio;2011
201107;Julio;2011
201108;Agosto;2011
201109;Septiembre;2011
201110;Octubre;2011
201111;Noviembre;2011
201112;Diciembre;2011
201201;Enero;2012
201202;Febrero;2012
201203;Marzo;2012
201204;Abril;2012
201205;Mayo;2012
201206;Junio;2012
201207;Julio;2012
201208;Agosto;2012
201209;Septiembre;2012
201210;Octubre;2012
201211;Noviembre;2012
201212;Diciembre;2012
201301;Enero;2013
201302;Febrero;2013
201303;Marzo;2013
201304;Abril;2013
201305;Mayo;2013
201306;Junio;2013
201307;Julio;2013
201308;Agosto;2013
201309;Septiembre;2013
201310;Octubre;2013
201311;Noviembre;2013
201312;Diciembre;2013
201401;Enero;2014
201402;Febrero;2014
201403;Marzo;2014
201404;Abril;2014
201405;Mayo;2014
201406;Junio;2014
201407;Julio;2014
201408;Agosto;2014
201409;Septiembre;2014
201410;Octubre;2014
201411;Noviembre;2014
201412;Diciembre;2014
201501;Enero;2015
201502;Febrero;2015
201503;Marzo;2015
201504;Abril;2015
201505;Mayo;2015
201506;Junio;2015
201507;Julio;2015
201508;Agosto;2015
201509;Septiembre;2015
201510;Octubre;2015
201511;Noviembre;2015
201512;Diciembre;2015
201601;Enero;2016
201602;Febrero;2016
201603;Marzo;2016
201604;Abril;2016
201605;Mayo;2016
201606;Junio;2016
201607;Julio;2016
201608;Agosto;2016
201609;Septiembre;2016
201610;Octubre;2016
201611;Noviembre;2016
201612;Diciembre;2016
201701;Enero;2017
201702;Febrero;2017
201703;Marzo;2017
201704;Abril;2017
201705;Mayo;2017
201706;Junio;2017
201707;Julio;2017
201708;Agosto;2017
201709;Septiembre;2017
201710;Octubre;2017
201711;Noviembre;2017
201712;Diciembre;2017
201801;Enero;2018
201802;Febrero;2018
201803;Marzo;2018
201804;Abril;2018
201805;Mayo;2018
201806;Junio;2018
201807;Julio;2018
201808;Agosto;2018
201809;Septiembre;2018
201810;Octubre;2018
201811;Noviembre;2018
201812;Diciembre;2018
201901;Enero;2019
201902;Febrero;2019
201903;Marzo;2019
201904;Abril;2019
201905;Mayo;2019
201906;Junio;2019
201907;Julio;2019
201908;Agosto;2019
201909;Septiembre;2019
201910;Octubre;2019
201911;Noviembre;2019
201912;Diciembre;2019
202001;Enero;2020
202002;Febrero;2020
202003;Marzo;2020
202004;Abril;2020
202005;Mayo;2020
202006;Junio;2020
202007;Julio;2020
202008;Agosto;2020
202009;Septiembre;2020
202010;Octubre;2020
202011;Noviembre;2020
202012;Diciembre;2020
202101;Enero;2021
202102;Febrero;2021
202103;Marzo;2021
202104;Abril;2021
202105;Mayo;2021
202106;Junio;2021
202107;Julio;2021
202108;Agosto;2021
202109;Septiembre;2021
202110;Octubre;2021
202111;Noviembre;2021
202112;Diciembre;2021
